PvEstimate,PvEstimate10,PvEstimate90,PeriodEnd,Period
0,0,0,2022-12-03T04:00:00Z,PT30M
0,0,0,2022-12-03T04:30:00Z,PT30M
0,0,0,2022-12-03T05:00:00Z,PT30M
0,0,0,2022-12-03T05:30:00Z,PT30M
0,0,0,2022-12-03T06:00:00Z,PT30M
0,0,0,2022-12-03T06:30:00Z,PT30M
0,0,0,2022-12-03T07:00:00Z,PT30M
0,0,0.0068,2022-12-03T07:30:00Z,PT30M
0.0886,0.0409,0.2103,2022-12-03T08:00:00Z,PT30M
0.2318,0.1091,1.0998,2022-12-03T08:30:00Z,PT30M
0.3818,0.1704,2.1791,2022-12-03T09:00:00Z,PT30M
0.6233,0.2454,3.2658,2022-12-03T09:30:00Z,PT30M
0.869,0.3165,4.2608,2022-12-03T10:00:00Z,PT30M
1.0623,0.3838,5.0658,2022-12-03T10:30:00Z,PT30M
1.1679,0.4289,5.7778,2022-12-03T11:00:00Z,PT30M
1.213,0.4518,6.2465,2022-12-03T11:30:00Z,PT30M
1.1904,0.4289,6.1876,2022-12-03T12:00:00Z,PT30M
1.1378,0.3897,6.448,2022-12-03T12:30:00Z,PT30M
1.0816,0.368,6.7081,2022-12-03T13:00:00Z,PT30M
0.9012,0.3088,6.5093,2022-12-03T13:30:00Z,PT30M
0.6178,0.23,5.3542,2022-12-03T14:00:00Z,PT30M
0.3392,0.1397,4.2595,2022-12-03T14:30:00Z,PT30M
0.1596,0.0665,2.5051,2022-12-03T15:00:00Z,PT30M
0.0202,0.0067,0.1794,2022-12-03T15:30:00Z,PT30M
0,0,0,2022-12-03T16:00:00Z,PT30M
0,0,0,2022-12-03T16:30:00Z,PT30M
0,0,0,2022-12-03T17:00:00Z,PT30M
0,0,0,2022-12-03T17:30:00Z,PT30M
0,0,0,2022-12-03T18:00:00Z,PT30M
0,0,0,2022-12-03T18:30:00Z,PT30M
0,0,0,2022-12-03T19:00:00Z,PT30M
0,0,0,2022-12-03T19:30:00Z,PT30M
0,0,0,2022-12-03T20:00:00Z,PT30M
0,0,0,2022-12-03T20:30:00Z,PT30M
0,0,0,2022-12-03T21:00:00Z,PT30M
0,0,0,2022-12-03T21:30:00Z,PT30M
0,0,0,2022-12-03T22:00:00Z,PT30M
0,0,0,2022-12-03T22:30:00Z,PT30M
0,0,0,2022-12-03T23:00:00Z,PT30M
0,0,0,2022-12-03T23:30:00Z,PT30M
0,0,0,2022-12-04,PT30M
0,0,0,2022-12-04T00:30:00Z,PT30M
0,0,0,2022-12-04T01:00:00Z,PT30M
0,0,0,2022-12-04T01:30:00Z,PT30M
0,0,0,2022-12-04T02:00:00Z,PT30M
0,0,0,2022-12-04T02:30:00Z,PT30M
0,0,0,2022-12-04T03:00:00Z,PT30M
0,0,0,2022-12-04T03:30:00Z,PT30M
0,0,0,2022-12-04T04:00:00Z,PT30M
0,0,0,2022-12-04T04:30:00Z,PT30M
0,0,0,2022-12-04T05:00:00Z,PT30M
0,0,0,2022-12-04T05:30:00Z,PT30M
0,0,0,2022-12-04T06:00:00Z,PT30M
0,0,0,2022-12-04T06:30:00Z,PT30M
0,0,0,2022-12-04T07:00:00Z,PT30M
0,0,0,2022-12-04T07:30:00Z,PT30M
0.075,0.0205,0.7945,2022-12-04T08:00:00Z,PT30M
0.2087,0.0539,2.7459,2022-12-04T08:30:00Z,PT30M
0.3569,0.0943,4.0889,2022-12-04T09:00:00Z,PT30M
0.5548,0.133,5.2169,2022-12-04T09:30:00Z,PT30M
0.7146,0.1596,5.7734,2022-12-04T10:00:00Z,PT30M
0.8334,0.1774,5.8577,2022-12-04T10:30:00Z,PT30M
0.8947,0.1883,5.7762,2022-12-04T11:00:00Z,PT30M
0.9059,0.1883,5.6615,2022-12-04T11:30:00Z,PT30M
0.8496,0.1753,5.2241,2022-12-04T12:00:00Z,PT30M
0.7647,0.1604,5.0333,2022-12-04T12:30:00Z,PT30M
0.6746,0.1604,4.9369,2022-12-04T13:00:00Z,PT30M
0.5278,0.1347,4.6686,2022-12-04T13:30:00Z,PT30M
0.357,0.1039,3.8351,2022-12-04T14:00:00Z,PT30M
0.2272,0.0714,2.7823,2022-12-04T14:30:00Z,PT30M
0.1051,0.0329,1.1964,2022-12-04T15:00:00Z,PT30M
0.0131,0.0066,0.0197,2022-12-04T15:30:00Z,PT30M
0,0,0,2022-12-04T16:00:00Z,PT30M
0,0,0,2022-12-04T16:30:00Z,PT30M
0,0,0,2022-12-04T17:00:00Z,PT30M
0,0,0,2022-12-04T17:30:00Z,PT30M
0,0,0,2022-12-04T18:00:00Z,PT30M
0,0,0,2022-12-04T18:30:00Z,PT30M
0,0,0,2022-12-04T19:00:00Z,PT30M
0,0,0,2022-12-04T19:30:00Z,PT30M
0,0,0,2022-12-04T20:00:00Z,PT30M
0,0,0,2022-12-04T20:30:00Z,PT30M
0,0,0,2022-12-04T21:00:00Z,PT30M
0,0,0,2022-12-04T21:30:00Z,PT30M
0,0,0,2022-12-04T22:00:00Z,PT30M
0,0,0,2022-12-04T22:30:00Z,PT30M
0,0,0,2022-12-04T23:00:00Z,PT30M
0,0,0,2022-12-04T23:30:00Z,PT30M
0,0,0,2022-12-05,PT30M
0,0,0,2022-12-05T00:30:00Z,PT30M
0,0,0,2022-12-05T01:00:00Z,PT30M
0,0,0,2022-12-05T01:30:00Z,PT30M
0,0,0,2022-12-05T02:00:00Z,PT30M
0,0,0,2022-12-05T02:30:00Z,PT30M
0,0,0,2022-12-05T03:00:00Z,PT30M
0,0,0,2022-12-05T03:30:00Z,PT30M
0,0,0,2022-12-05T04:00:00Z,PT30M
